iter	Logloss
244	0.1186827855
245	0.1182445822
246	0.117495565
247	0.1167834591
248	0.1158925941
249	0.11528589
250	0.1145301862
251	0.1136948322
252	0.1130378426
253	0.1123807478
254	0.111758805
255	0.1109142257
256	0.1105411913
257	0.1098001107
258	0.108777041
259	0.108285075
260	0.1077139656
261	0.1073878857
262	0.1069802908
263	0.1063273908
264	0.1056616843
265	0.1046938482
266	0.1043376638
267	0.103706993
268	0.1030179818
269	0.1022172283
270	0.1016506111
271	0.1009966695
272	0.100605076
273	0.1001204669
274	0.09984412936
275	0.09967029814
276	0.09923853457
277	0.09848032214
278	0.09770724928
279	0.09677371962
280	0.09624933052
281	0.09594095596
282	0.09563914
283	0.09536025067
284	0.09467903148
285	0.09427874418
286	0.09393095041
287	0.09348777546
288	0.09284571104
289	0.09238849784
290	0.09200199739
291	0.09150948503
292	0.09121592638
293	0.0905841452
294	0.09013154526
295	0.08931603783
296	0.08866097083
297	0.08831820521
298	0.08795192682
299	0.08764392067
300	0.08732203332
301	0.08691549038
302	0.08649184109
303	0.08600926207
304	0.08577269714
305	0.08549248864
306	0.08511485822
307	0.08485504864
308	0.08441994382
309	0.08400671972
310	0.08359998802
311	0.08313143469
312	0.0826890617
313	0.0824248931
314	0.08183246306
315	0.08155568529
316	0.08118935609
317	0.08088409736
318	0.08049484589
319	0.08016724231
320	0.07948215984
321	0.0790744841
322	0.07875098129
323	0.07836616742
324	0.07803182927
325	0.07777772526
326	0.07731047204
327	0.07681829297
328	0.07650666831
329	0.07617963546
330	0.075623492
331	0.07494945827
332	0.07463602357
333	0.07425185839
334	0.07372504624
335	0.07335572882
336	0.07309363608
337	0.07260554548
338	0.07223655103
339	0.07205582463
340	0.07168170456
341	0.07139436103
342	0.07110405974
343	0.07070116295
344	0.07046706866
345	0.07018440916
346	0.06977441854
347	0.06934966722
348	0.06886863821
349	0.06865131317
350	0.06843700719
351	0.06809572206
352	0.06778054386
353	0.06762958593
354	0.06725511405
355	0.06698740796
356	0.06659536351
357	0.0661295326
358	0.06580048025
359	0.06565304654
360	0.06538331815
361	0.06515988438
362	0.06467981716
363	0.06440228102
364	0.0642660474
365	0.06380404487
366	0.06353343034
367	0.063304176
368	0.06291917636
369	0.06254733578
370	0.06236081919
371	0.06194450949
372	0.06170194235
373	0.06154013161
374	0.06125245973
375	0.06099263159
376	0.06061058452
377	0.06034553594
378	0.06004191083
379	0.05979159331
380	0.05954648382
381	0.05934265023
382	0.05912079955
383	0.05886710323
384	0.05854929531
385	0.05813021079
386	0.05782308349
387	0.05760649759
388	0.05729285886
389	0.05695017117
390	0.05660706807
391	0.05633521083
392	0.05615062869
393	0.0558940695
394	0.05567616953
395	0.05528887836
396	0.05502488867
397	0.05487820079
398	0.05474351795
399	0.05455465957
400	0.05435896982
401	0.05422643835
402	0.0539447977
403	0.05373768436
404	0.05345715276
405	0.05314748534
406	0.05282025605
407	0.05269703064
408	0.05238262527
409	0.05207324528
410	0.05189764594
411	0.05173369287
412	0.05148856084
413	0.05117897794
414	0.05092902706
415	0.05075619368
416	0.0503525004
417	0.05010744368
418	0.04990570887
419	0.04970843769
420	0.04948243893
421	0.04929740892
422	0.04916498866
423	0.04898537998
424	0.04878409514
425	0.04867141848
426	0.04844651204
427	0.04831597412
428	0.04820823729
429	0.04798018677
430	0.04784196957
431	0.04765577041
432	0.04747436079
433	0.04722074687
434	0.0469102536
435	0.04681022751
436	0.0466807087
437	0.04650740494
438	0.04630513665
439	0.04606238397
440	0.0459056143
441	0.04574981361
442	0.0456132061
443	0.04543596538
444	0.0453145649
445	0.04520427039
446	0.04500108839
447	0.04486766145
448	0.04473626814
449	0.04458845161
450	0.04434242453
451	0.04423094547
452	0.04400061841
453	0.04389739491
454	0.04377595099
455	0.04357528068
456	0.04346073237
457	0.04329399564
458	0.04313683114
459	0.04300894497
460	0.0428842551
461	0.04261885311
462	0.0424591062
463	0.04222708855
464	0.04204465036
465	0.0418960397
466	0.04165944815
467	0.04151265237
468	0.04132386072
469	0.04113959756
470	0.04096280404
471	0.04074149092
472	0.04061687198
473	0.04043211072
474	0.04030720071
475	0.04020770613
476	0.04014620632
477	0.04005613636
478	0.03982299291
479	0.03962491439
480	0.03948318954
481	0.03941251239
482	0.03923807567
483	0.03915750018
484	0.03907394103
485	0.0389287651
486	0.03870402021
487	0.03857268867
488	0.03844205672
489	0.03829222533
490	0.0381149735
491	0.03797841616
492	0.03791693688
493	0.03771898806
494	0.03761061007
495	0.03753020994
496	0.03743658155
497	0.03731619166
498	0.03717034615
499	0.03706062561
