iter	Logloss
0	0.6756781252
1	0.6588132798
2	0.6454510306
3	0.6340189908
4	0.625339337
5	0.6156764862
6	0.6071169499
7	0.5990680423
8	0.593649818
9	0.5852863675
10	0.5799384008
11	0.5710600651
12	0.5642962464
13	0.5589887173
14	0.5487891026
15	0.5433263137
16	0.5395277262
17	0.5328972858
18	0.528864386
19	0.5237924445
20	0.5166853651
21	0.5098361999
22	0.5045250266
23	0.5015029935
24	0.498669268
25	0.4943692791
26	0.4916260297
27	0.4892728275
28	0.4854336957
29	0.4806516274
30	0.4786985927
31	0.4770938909
32	0.4748109082
33	0.4706911907
34	0.4684418056
35	0.4653558452
36	0.4600333824
37	0.453023839
38	0.4491401128
39	0.4449464297
40	0.4397490926
41	0.43475249
42	0.4303597795
43	0.4270161188
44	0.4239214975
45	0.4230694714
46	0.4201685841
47	0.4163976508
48	0.4132775712
49	0.4095955914
50	0.404284175
51	0.4016181943
52	0.3971946551
53	0.3947324193
54	0.3929036505
55	0.3892091309
56	0.3866622977
57	0.3838396759
58	0.3813347692
59	0.3791562095
60	0.376575905
61	0.372754136
62	0.3703784432
63	0.3680085567
64	0.3656743562
65	0.3635244876
66	0.3615682285
67	0.3582891575
68	0.3554677091
69	0.3541288928
70	0.3530160103
71	0.3498840322
72	0.3485017738
73	0.3469281967
74	0.3449322803
75	0.342785076
76	0.3399658789
77	0.3373763268
78	0.3354653487
79	0.3333079166
80	0.3309380261
81	0.3294956864
82	0.3278965146
83	0.3241590226
84	0.3223443588
85	0.319302584
86	0.3155331858
87	0.3133807085
88	0.3103954952
89	0.308089332
90	0.3050675604
91	0.3036407887
92	0.3018648923
93	0.2997332412
94	0.2974863258
95	0.295401223
96	0.2932872536
97	0.2915440291
98	0.2895821507
99	0.2884971031
100	0.2867463649
101	0.2852750205
102	0.2824798322
103	0.2813344839
104	0.2784219287
105	0.2770140992
106	0.2744986971
107	0.2733600764
108	0.2717831006
109	0.2695109874
110	0.2684411196
111	0.2665020609
112	0.2649528234
113	0.2635933214
114	0.2621196233
115	0.2609751661
116	0.2594649773
117	0.2575406882
118	0.2564639817
119	0.25451259
120	0.2531982723
121	0.2519599484
122	0.2503789474
123	0.2481367895
124	0.2471754406
125	0.245915783
126	0.2440291571
127	0.2428279187
128	0.2417906637
129	0.2391608397
130	0.2379649186
131	0.2369785778
132	0.2352013241
133	0.2333907226
134	0.2313861742
135	0.2296235936
136	0.2287975101
137	0.2269504064
138	0.2260322388
139	0.2242360647
140	0.222718902
141	0.2213038805
142	0.2192043354
143	0.2176460456
144	0.2157581136
145	0.2134363993
146	0.2125745839
147	0.2111740741
148	0.2096719924
149	0.2079579795
150	0.2068517114
151	0.2058827862
152	0.2037883693
153	0.202738463
154	0.2004312418
155	0.1995433754
156	0.1983785159
157	0.1975047565
158	0.1970094747
159	0.1953212555
160	0.1943970131
161	0.1936720813
162	0.1924083918
163	0.1906887127
164	0.1897961367
165	0.1890765604
166	0.1883121594
167	0.1874413584
168	0.1866712177
169	0.185730527
170	0.1851585321
171	0.1838616125
172	0.1829952217
173	0.1817595908
174	0.1808505411
175	0.1799475075
176	0.1788852892
177	0.1772532691
178	0.1761597966
179	0.1755684222
180	0.1749015237
181	0.1733342819
182	0.1725900469
183	0.1717341094
184	0.1706527285
185	0.1692837911
186	0.1681046035
187	0.1672729245
188	0.1666666056
189	0.165944469
190	0.1653647601
191	0.1638701672
192	0.1631288626
193	0.1620221521
194	0.1610352141
195	0.1606263085
196	0.1598672318
197	0.1588349632
198	0.1575912682
199	0.1563115433
200	0.1555454987
201	0.1547959329
202	0.1536895837
203	0.1522038958
204	0.151158781
205	0.1501308534
206	0.1494981312
207	0.1485149891
208	0.147599185
209	0.1470836537
210	0.1460364787
211	0.1452777014
212	0.1445101238
213	0.1434932723
214	0.1424720938
215	0.1408226627
216	0.1400080276
217	0.1389913478
218	0.1383678567
219	0.1377524542
220	0.1370588629
221	0.1361709043
222	0.1356812399
223	0.1349759651
224	0.1340134512
225	0.1335424643
226	0.1324087079
227	0.1313099066
228	0.1309399835
229	0.1301578637
230	0.1296394388
231	0.1286248008
232	0.1276039092
233	0.1265265389
234	0.1254680594
235	0.1246430191
236	0.1236756096
237	0.1233032674
238	0.1225844867
239	0.1219368813
240	0.1213541873
241	0.1208779961
242	0.1202378888
243	0.1193425461
